map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,timestamp
15000292,0,16000011,16000063,16000092,16000045,16000102,16000028,20260406T141305.000Z
15000292,1,16000011,16000063,16000092,16000045,16000102,16000028,20260406T141042.000Z
15000292,0,16000011,16000063,16000092,16000045,16000102,16000028,20260406T140834.000Z
15000440,1,16000003,16000023,16000079,16000042,16000076,16000005,20260406T140245.000Z
15000440,1,16000003,16000023,16000079,16000042,16000076,16000005,20260406T140108.000Z
15000440,0,16000003,16000023,16000079,16000042,16000076,16000005,20260406T135902.000Z
15000007,0,16000103,16000024,16000097,16000004,16000011,16000099,20260403T121810.000Z
15000007,1,16000103,16000024,16000097,16000004,16000011,16000099,20260403T121542.000Z
15000007,0,16000103,16000024,16000097,16000004,16000011,16000099,20260403T121336.000Z
15000368,0,16000061,16000099,16000022,16000081,16000005,16000003,20260403T120857.000Z
15000368,0,16000061,16000099,16000022,16000081,16000005,16000003,20260403T120553.000Z
15000368,1,16000061,16000099,16000022,16000081,16000005,16000003,20260403T120213.000Z
15000082,1,16000099,16000024,16000030,16000021,16000023,16000006,20260403T115501.000Z
15000082,1,16000099,16000024,16000030,16000021,16000023,16000006,20260403T115302.000Z
15000082,0,16000099,16000024,16000030,16000021,16000023,16000006,20260403T115044.000Z
15000300,1,16000101,16000042,16000020,16000023,16000011,16000005,20260403T114553.000Z
15000300,1,16000101,16000042,16000020,16000023,16000011,16000005,20260403T114357.000Z
15000010,0,16000028,16000014,16000017,16000002,16000070,16000012,20260402T205601.000Z
15000010,0,16000028,16000014,16000017,16000002,16000070,16000012,20260402T205342.000Z
15000010,1,16000028,16000014,16000017,16000002,16000070,16000012,20260402T205102.000Z
15000143,1,16000001,16000063,16000018,16000011,16000044,16000026,20260403T001705.000Z
15000143,1,16000001,16000063,16000018,16000011,16000044,16000026,20260403T001429.000Z
15000025,1,16000009,16000063,16000004,16000012,16000001,16000084,20260403T000542.000Z
15000025,0,16000009,16000063,16000004,16000012,16000001,16000084,20260403T000254.000Z
15000025,1,16000009,16000063,16000004,16000012,16000001,16000084,20260403T000005.000Z
15000306,1,16000019,16000099,16000006,16000011,16000005,16000014,20260402T235447.000Z
15000306,1,16000019,16000099,16000006,16000011,16000005,16000014,20260402T235245.000Z
15000368,1,16000004,16000001,16000036,16000021,16000023,16000065,20260402T234653.000Z
15000368,1,16000004,16000001,16000036,16000021,16000023,16000065,20260402T234355.000Z
15000072,1,16000029,16000063,16000078,16000099,16000059,16000012,20260402T233947.000Z
15000072,1,16000029,16000063,16000078,16000099,16000059,16000012,20260402T233756.000Z
15000368,1,16000004,16000012,16000022,16000099,16000023,16000003,20260402T233345.000Z
15000368,1,16000004,16000012,16000022,16000099,16000023,16000003,20260402T233217.000Z
15000010,1,16000004,16000029,16000063,16000062,16000072,16000059,20260402T232805.000Z
15000010,1,16000004,16000029,16000063,16000062,16000072,16000059,20260402T232614.000Z
15000703,1,16000061,16000029,16000089,16000099,16000101,16000003,20260402T232159.000Z
15000703,1,16000061,16000029,16000089,16000099,16000101,16000003,20260402T232013.000Z
15000072,1,16000039,16000040,16000099,16000015,16000036,16000056,20260402T231408.000Z
15000072,1,16000039,16000040,16000099,16000015,16000036,16000056,20260402T231253.000Z
