map,result,ally1,ally2,ally3,enemy1,enemy2,enemy3,id,order_index
15000440,1,16000090,16000021,16000012,16000003,16000023,16000098,f9bd8e250e5786250a023800f96ae673,62
15000050,0,16000012,16000004,16000070,16000083,16000005,16000050,cb9a454ec8f45b8104c43cd841b6e5a8,63
15000050,0,16000012,16000004,16000070,16000083,16000005,16000050,3b82c51bb76843551e41b74ba22d5608,64
15000306,0,16000008,16000043,16000083,16000002,16000019,16000038,125304ab606e5e2e0294036c321e5212,65
15000306,0,16000008,16000043,16000083,16000002,16000019,16000038,dce44d06fd55d03b7d57f1bfa77f9f32,66
15000115,0,16000050,16000038,16000051,16000052,16000001,16000017,abf1947e724c0157beefe661f69282cc,67
15000115,0,16000050,16000038,16000051,16000052,16000001,16000017,58146f6766e04981b14366e0d79a2d0c,68
15000005,1,16000065,16000012,16000061,16000029,16000099,16000054,016b8f099ab51cfe181b7c9938d6265e,69
15000005,1,16000065,16000012,16000061,16000029,16000099,16000054,70fb7f51bb24c8a9d043f6b21103c028,70
15000005,0,16000003,16000015,16000076,16000042,16000023,16000022,7c0e259a45987888d95040c094c43674,71
15000005,0,16000003,16000015,16000076,16000042,16000023,16000022,8998048579f322ba307c45fb533ae373,72
15000050,1,16000010,16000070,16000074,16000043,16000025,16000099,62c72c7909c711843e825af30e91e96f,73
15000050,1,16000010,16000070,16000074,16000043,16000025,16000099,c983eb1f2d0918a324880c1aae75277c,74
15000007,1,16000004,16000012,16000042,16000011,16000051,16000030,fda6cd2d5e23fe265b0bdef9cfbdd21b,75
15000007,0,16000004,16000012,16000042,16000011,16000051,16000030,8095e50eff9b43cc653e3472bce2ed44,76
15000007,1,16000004,16000012,16000042,16000011,16000051,16000030,674311d0f54436f1dadc5d73834a2dde,77
15000368,1,16000011,16000076,16000085,16000009,16000004,16000031,de304f4529520bd650edee805e78bceb,78
15000368,0,16000011,16000076,16000085,16000009,16000004,16000031,7f6a1a9f2c418012251124e7616e1d7a,79
15000368,1,16000011,16000076,16000085,16000009,16000004,16000031,95a50df65b014c24a300a0e977bf18f9,80
15000010,0,16000042,16000014,16000012,16000054,16000004,16000047,a13a362310a729e8be0a4a5ac07e6338,81
15000010,0,16000042,16000014,16000012,16000054,16000004,16000047,bc192585e935f9c7b1575a2b8f4976c6,82
15000010,1,16000042,16000014,16000012,16000054,16000004,16000047,4a56a2cad7db681044e768e98771d7be,83
15000368,1,16000043,16000001,16000015,16000021,16000099,16000005,b690d44501992ca0a579aae1ba31b810,84
